idade,anos_experiencia,area,nivel_educacao,salario,promovido
25,0,TI,Medio,3675.86,0
61,7,TI,Superior,5637.74,0
23,15,Saude,Superior,3959.62,0
48,13,Saude,Superior,4860.33,0
37,11,Vendas,Medio,3613.16,0
45,22,TI,Superior,7725.75,1
63,14,TI,Pos-graduacao,8837.23,1
53,27,Saude,Pos-graduacao,8392.04,1
29,33,TI,Medio,8457.34,1
55,1,Saude,Pos-graduacao,4725.77,0
33,31,TI,Pos-graduacao,10313.21,1
50,22,Vendas,Medio,6758.2,1
34,21,TI,Superior,6688.5,1
27,24,TI,Superior,7539.12,1
33,21,Financeiro,Superior,5501.76,0
42,21,Saude,Medio,6112.64,0
59,5,TI,Pos-graduacao,6828.45,0
40,14,TI,Superior,5312.11,0
35,32,Financeiro,Superior,7015.79,1
64,7,Financeiro,Medio,4459.42,0
37,4,Saude,Superior,2711.25,0
43,3,Financeiro,Medio,3527.41,0
45,5,Vendas,Pos-graduacao,4215.39,0
44,31,Financeiro,Medio,6920.62,1
64,29,Vendas,Medio,7996.52,1
60,34,Saude,Medio,7706.49,1
48,15,Saude,Medio,5329.59,0
34,12,Saude,Pos-graduacao,4828.57,0
64,29,Saude,Pos-graduacao,9492.53,1
20,18,Saude,Superior,4698.18,0
44,16,Vendas,Pos-graduacao,6378.13,1
26,18,Vendas,Pos-graduacao,6241.61,0
28,27,Saude,Superior,6523.03,1
43,25,Financeiro,Pos-graduacao,6967.33,1
20,25,TI,Medio,7297.87,1
63,22,Saude,Medio,6191.49,0
27,8,Financeiro,Superior,2919.18,0
43,11,TI,Superior,6309.85,1
30,0,Saude,Superior,2409.13,0
36,0,Saude,Medio,2797.01,0
27,33,Vendas,Pos-graduacao,8366.94,1
54,31,TI,Medio,8856.06,1
54,24,TI,Superior,8800.01,1
52,0,Financeiro,Pos-graduacao,4281.09,0
24,15,Vendas,Pos-graduacao,5076.82,0
61,4,Vendas,Medio,3724.85,0
58,21,Vendas,Superior,6389.9,1
60,28,Vendas,Medio,7433.04,1
47,2,TI,Pos-graduacao,5519.89,0
26,11,TI,Medio,5861.79,0
28,25,Saude,Medio,5294.85,0
27,15,Saude,Superior,5032.65,0
31,21,Vendas,Superior,4987.26,0
53,28,Vendas,Pos-graduacao,8154.5,1
52,13,Vendas,Medio,5345.83,0
42,27,Saude,Medio,6677.84,1
43,4,Financeiro,Medio,3761.68,0
56,29,Financeiro,Pos-graduacao,8707.46,1
54,4,Saude,Pos-graduacao,5424.51,0
63,11,Saude,Superior,5339.88,0
59,15,Saude,Superior,5193.5,0
41,25,Saude,Superior,6578.18,1
46,25,Saude,Medio,5839.38,0
54,20,Saude,Medio,5926.84,0
20,32,Vendas,Superior,7107.39,1
54,29,Vendas,Medio,7263.54,1
56,22,Vendas,Superior,6458.66,1
33,9,Vendas,Pos-graduacao,4999.69,0
22,4,Saude,Superior,3361.63,0
20,33,Financeiro,Pos-graduacao,8087.83,1
24,30,TI,Medio,7913.82,1
45,9,Saude,Superior,4539.61,0
33,18,TI,Medio,6082.94,0
58,31,Financeiro,Pos-graduacao,8990.41,1
46,0,Vendas,Pos-graduacao,3733.01,0
28,4,Financeiro,Pos-graduacao,4771.17,0
34,3,Saude,Medio,2965.59,0
34,15,Vendas,Medio,4803.99,0
45,23,Saude,Medio,6310.03,1
61,15,Vendas,Medio,4653.13,0
32,1,TI,Pos-graduacao,5179.77,0
51,27,TI,Pos-graduacao,9972.42,1
58,31,TI,Superior,9437.11,1
51,26,Financeiro,Superior,6828.21,1
23,19,Saude,Medio,4495.21,0
49,23,Financeiro,Pos-graduacao,7679.2,1
56,11,TI,Pos-graduacao,7725.36,1
42,34,Saude,Pos-graduacao,8828.81,1
58,32,TI,Superior,9719.27,1
64,32,Financeiro,Superior,7606.63,1
34,11,Financeiro,Pos-graduacao,5186.06,0
62,2,Financeiro,Pos-graduacao,3836.16,0
48,0,TI,Pos-graduacao,6067.93,0
55,32,Saude,Superior,7780.54,1
32,9,Saude,Pos-graduacao,4387.27,0
51,28,TI,Pos-graduacao,8991.56,1
26,12,Saude,Medio,3780.95,0
41,11,TI,Medio,6182.46,0
47,30,Saude,Superior,7054.86,1
21,1,Vendas,Pos-graduacao,3343.09,0
61,34,Vendas,Pos-graduacao,8882.55,1
64,22,Financeiro,Medio,6059.64,0
25,16,Vendas,Superior,3891.53,0
47,25,Vendas,Medio,5992.04,0
47,7,Vendas,Medio,3526.77,0
63,28,TI,Medio,9068.05,1
63,25,Vendas,Medio,6808.71,1
39,9,Vendas,Pos-graduacao,4904.77,0
49,25,Financeiro,Pos-graduacao,8648.89,1
30,33,Vendas,Medio,6904.44,1
47,6,Vendas,Superior,4281.84,0
44,3,Saude,Superior,3968.44,0
58,10,Financeiro,Superior,4022.02,0
52,28,Financeiro,Superior,7049.59,1
20,24,Financeiro,Medio,5452.99,0
46,20,Financeiro,Pos-graduacao,6710.43,1
32,9,Financeiro,Superior,4082.15,0
60,8,Financeiro,Medio,4170.85,0
22,23,TI,Superior,6871.61,1
58,34,Vendas,Superior,7942.75,1
25,34,Financeiro,Medio,7035.64,1
27,17,Vendas,Pos-graduacao,5585.57,0
46,31,Vendas,Pos-graduacao,8808.36,1
28,23,TI,Medio,7639.41,1
56,22,Financeiro,Pos-graduacao,7617.45,1
52,31,Saude,Medio,7289.38,1
61,11,TI,Medio,6082.92,0
63,12,Saude,Medio,4773.55,0
43,22,Vendas,Pos-graduacao,8097.95,1
34,24,Vendas,Medio,6385.14,1
51,34,TI,Superior,8998.96,1
51,29,TI,Pos-graduacao,9900.88,1
43,16,Saude,Pos-graduacao,6169.99,0
60,19,Financeiro,Pos-graduacao,7393.52,1
31,24,Saude,Pos-graduacao,7352.4,1
58,21,TI,Superior,8123.44,1
21,12,Saude,Pos-graduacao,4864.78,0
22,18,TI,Pos-graduacao,7611.89,1
56,11,Saude,Medio,4040.58,0
36,18,TI,Pos-graduacao,7417.06,1
21,11,TI,Superior,5718.64,0
21,8,TI,Superior,4564.73,0
47,6,Financeiro,Superior,3478.64,0
42,27,Saude,Superior,6626.69,1
56,13,Saude,Pos-graduacao,6497.9,1
51,30,Saude,Pos-graduacao,8050.67,1
52,18,TI,Superior,5727.68,0
20,15,Saude,Superior,4051.91,0
38,4,Saude,Pos-graduacao,4992.25,0
21,34,TI,Superior,8722.25,1
63,11,Vendas,Medio,5444.55,0
45,24,TI,Superior,7332.27,1
51,20,Saude,Superior,5219.24,0
25,22,TI,Medio,7190.02,1
51,15,Vendas,Medio,5271.01,0
23,13,TI,Pos-graduacao,7017.22,1
30,30,Saude,Pos-graduacao,8323.2,1
36,4,Vendas,Medio,3428.67,0
57,34,Financeiro,Medio,8147.25,1
43,22,Saude,Pos-graduacao,7441.0,1
24,28,Vendas,Superior,6520.97,1
53,10,Vendas,Medio,4867.98,0
25,17,Financeiro,Pos-graduacao,6408.41,1
41,11,TI,Superior,6477.68,1
30,8,TI,Medio,4910.32,0
35,9,Saude,Superior,4127.22,0
52,16,Financeiro,Pos-graduacao,6391.87,1
28,6,TI,Medio,4506.58,0
25,12,Financeiro,Superior,3829.18,0
35,8,TI,Medio,5492.98,0
48,26,Vendas,Superior,6807.3,1
22,1,TI,Pos-graduacao,5350.16,0
39,4,Financeiro,Pos-graduacao,4444.71,0
55,28,Vendas,Medio,7096.37,1
38,18,Vendas,Superior,5597.1,0
45,7,Vendas,Medio,3309.24,0
22,0,Financeiro,Medio,2359.86,0
38,21,Saude,Superior,5725.98,0
39,16,Saude,Superior,5316.32,0
51,6,Saude,Superior,3374.9,0
26,24,Financeiro,Pos-graduacao,7608.05,1
60,3,Vendas,Medio,3805.45,0
52,5,Saude,Medio,3906.63,0
59,30,Financeiro,Pos-graduacao,8514.45,1
58,18,Saude,Superior,5985.21,0
37,26,TI,Pos-graduacao,9084.18,1
59,9,Saude,Pos-graduacao,6218.59,0
20,25,Saude,Pos-graduacao,6423.4,1
30,18,Vendas,Medio,5140.22,0
47,2,Financeiro,Pos-graduacao,4618.4,0
44,12,Vendas,Medio,4505.45,0
42,27,Vendas,Medio,6468.13,1
50,19,Vendas,Medio,5564.82,0
49,27,Vendas,Superior,6874.86,1
61,7,Vendas,Medio,3581.02,0
54,0,Saude,Medio,3536.01,0
26,2,Vendas,Superior,2537.95,0
35,12,Vendas,Medio,4406.12,0
45,27,Financeiro,Pos-graduacao,8051.84,1
21,24,TI,Pos-graduacao,8174.68,1
20,32,Saude,Medio,6727.58,1
31,5,Saude,Superior,2460.9,0
24,31,Saude,Pos-graduacao,8232.85,1
56,20,Vendas,Superior,6432.03,1
51,15,Vendas,Superior,4494.6,0
28,20,Vendas,Pos-graduacao,6337.4,1
60,10,Financeiro,Superior,4208.05,0
54,34,TI,Pos-graduacao,10538.9,1
38,18,Vendas,Superior,5529.45,0
35,19,TI,Pos-graduacao,8429.92,1
22,17,Financeiro,Medio,5178.74,0
39,13,Saude,Pos-graduacao,6319.22,1
43,14,Vendas,Pos-graduacao,5946.03,0
52,30,TI,Pos-graduacao,9541.22,1
43,0,TI,Pos-graduacao,5529.16,0
30,2,Vendas,Superior,3083.31,0
27,15,Saude,Medio,4084.1,0
55,22,Saude,Pos-graduacao,8119.05,1
57,10,Saude,Superior,4984.16,0
59,11,Financeiro,Medio,4732.37,0
39,9,TI,Medio,5250.65,0
54,31,TI,Medio,8722.35,1
44,15,TI,Medio,6529.68,1
54,7,Financeiro,Pos-graduacao,5238.24,0
44,11,TI,Pos-graduacao,7520.2,1
48,23,Financeiro,Superior,6082.81,0
37,27,Saude,Superior,6707.2,1
37,7,Vendas,Superior,3693.43,0
21,27,TI,Medio,7712.87,1
54,25,TI,Medio,8057.98,1
35,7,Saude,Pos-graduacao,5138.09,0
60,27,Vendas,Medio,7369.02,1
55,27,Financeiro,Medio,7138.97,1
52,26,Vendas,Medio,6983.01,1
23,16,Saude,Superior,4237.25,0
52,8,Saude,Superior,4349.3,0
33,32,Vendas,Pos-graduacao,8804.68,1
40,19,Financeiro,Medio,5656.56,0
39,12,Financeiro,Medio,4042.71,0
27,27,TI,Pos-graduacao,8935.09,1
